,location,BHK,total_sqft,bath,balcony,price
57,5th Phase JP Nagar,2,1390.0,2.0,2.0,65.0
58,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
59,5th Phase JP Nagar,2,1000.0,2.0,0.0,48.0
60,5th Phase JP Nagar,3,1350.0,2.0,1.0,75.0
61,5th Phase JP Nagar,1,552.0,1.0,1.0,23.5
62,5th Phase JP Nagar,2,1200.0,2.0,2.0,51.0
66,5th Phase JP Nagar,2,1030.0,2.0,2.0,57.0
67,5th Phase JP Nagar,2,1200.0,2.0,1.0,68.0
68,5th Phase JP Nagar,2,1190.0,2.0,2.0,61.8
69,5th Phase JP Nagar,5,4000.0,5.0,2.0,170.0
70,5th Phase JP Nagar,2,1080.0,2.0,1.0,53.0
71,5th Phase JP Nagar,2,1041.0,2.0,2.0,54.0
72,5th Phase JP Nagar,2,812.0,2.0,1.0,42.0
73,5th Phase JP Nagar,2,1010.0,2.0,2.0,57.0
75,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
76,6th Phase JP Nagar,2,1192.0,2.0,2.0,74.0
77,6th Phase JP Nagar,2,1180.0,2.0,3.0,80.0
78,6th Phase JP Nagar,4,3245.0,4.0,3.0,250.0
79,6th Phase JP Nagar,3,1645.0,3.0,3.0,100.0
80,6th Phase JP Nagar,2,1140.0,2.0,2.0,65.0
81,6th Phase JP Nagar,3,2040.0,3.0,2.0,200.0
82,6th Phase JP Nagar,2,1213.0,2.0,1.0,63.0
83,6th Phase JP Nagar,2,1216.0,2.0,2.0,60.0
84,6th Phase JP Nagar,2,1460.0,2.0,2.0,80.0
85,6th Phase JP Nagar,3,2003.0,3.0,3.0,200.0
86,6th Phase JP Nagar,3,1810.0,3.0,3.0,131.0
87,6th Phase JP Nagar,3,1515.0,2.0,2.0,135.0
88,6th Phase JP Nagar,2,1192.0,2.0,3.0,75.0
89,6th Phase JP Nagar,2,1280.0,2.0,1.0,88.0
90,7th Phase JP Nagar,2,1080.0,2.0,2.0,72.0
91,7th Phase JP Nagar,2,1270.0,2.0,2.0,93.0
92,7th Phase JP Nagar,3,1420.0,2.0,1.0,100.0
93,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
94,7th Phase JP Nagar,2,1245.0,2.0,1.0,94.0
95,7th Phase JP Nagar,2,1175.0,2.0,1.0,82.0
96,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
97,7th Phase JP Nagar,3,2225.0,3.0,1.0,160.0
98,7th Phase JP Nagar,2,1050.0,2.0,1.0,71.0
99,7th Phase JP Nagar,2,1100.0,2.0,0.0,46.0
100,7th Phase JP Nagar,2,918.0,2.0,1.0,50.49
101,7th Phase JP Nagar,3,1450.0,2.0,1.0,100.0
102,7th Phase JP Nagar,2,1190.0,2.0,1.0,49.98
103,7th Phase JP Nagar,3,1420.0,2.0,2.0,96.0
104,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
105,7th Phase JP Nagar,2,980.0,2.0,2.0,69.0
106,7th Phase JP Nagar,2,1180.0,2.0,2.0,72.0
110,7th Phase JP Nagar,3,1400.0,3.0,1.0,115.0
111,7th Phase JP Nagar,2,1270.0,2.0,1.0,83.0
113,7th Phase JP Nagar,4,2503.0,4.0,0.0,188.0
114,7th Phase JP Nagar,3,2200.0,3.0,2.0,190.0
117,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
118,7th Phase JP Nagar,3,1850.0,3.0,2.0,140.0
119,7th Phase JP Nagar,3,1575.0,2.0,2.0,120.0
120,7th Phase JP Nagar,3,1850.0,3.0,2.0,150.0
121,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
122,7th Phase JP Nagar,2,1175.0,2.0,2.0,82.5
125,7th Phase JP Nagar,2,1215.0,2.0,2.0,90.0
126,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
127,7th Phase JP Nagar,3,1300.0,3.0,2.0,89.13
128,7th Phase JP Nagar,2,1130.0,2.0,2.0,73.0
129,7th Phase JP Nagar,3,1450.0,3.0,2.0,100.0
131,7th Phase JP Nagar,2,1050.0,2.0,1.0,50.0
132,7th Phase JP Nagar,2,1275.0,2.0,1.0,87.0
134,7th Phase JP Nagar,3,1650.0,3.0,2.0,110.0
135,7th Phase JP Nagar,2,850.0,2.0,2.0,42.0
136,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
137,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
138,7th Phase JP Nagar,2,1236.0,2.0,2.0,61.33
139,7th Phase JP Nagar,2,1000.0,2.0,2.0,53.0
140,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
141,7th Phase JP Nagar,3,1675.0,2.0,2.0,135.0
142,7th Phase JP Nagar,2,1187.0,2.0,1.0,59.0
143,7th Phase JP Nagar,3,1850.0,3.0,2.0,155.0
144,7th Phase JP Nagar,2,1000.0,2.0,1.0,61.0
145,7th Phase JP Nagar,3,1460.0,2.0,2.0,100.0
146,7th Phase JP Nagar,3,1650.0,3.0,3.0,110.0
147,7th Phase JP Nagar,2,1200.0,2.0,2.0,62.5
148,7th Phase JP Nagar,2,1000.0,2.0,1.0,70.65
149,7th Phase JP Nagar,2,1080.0,2.0,2.0,75.0
151,7th Phase JP Nagar,3,1680.0,3.0,3.0,125.0
152,7th Phase JP Nagar,3,1460.0,2.0,1.0,97.0
153,7th Phase JP Nagar,2,1120.0,2.0,2.0,65.0
154,7th Phase JP Nagar,2,1100.0,3.0,1.0,60.0
155,7th Phase JP Nagar,3,1790.0,3.0,3.0,120.0
156,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
157,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.0
158,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
159,7th Phase JP Nagar,2,1040.0,2.0,1.0,75.0
160,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
161,7th Phase JP Nagar,3,1800.0,3.0,2.0,130.0
162,7th Phase JP Nagar,2,1050.0,2.0,0.0,68.0
163,7th Phase JP Nagar,2,1000.0,2.0,2.0,60.0
164,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
165,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.47
166,7th Phase JP Nagar,2,1270.0,2.0,1.0,80.0
168,7th Phase JP Nagar,3,1680.0,3.0,2.0,122.0
169,7th Phase JP Nagar,2,1130.0,2.0,2.0,85.0
170,7th Phase JP Nagar,3,1680.0,3.0,3.0,130.0
171,7th Phase JP Nagar,2,980.0,2.0,1.0,77.44
172,7th Phase JP Nagar,3,1680.0,3.0,2.0,112.0
174,7th Phase JP Nagar,3,2095.0,3.0,2.0,150.0
175,7th Phase JP Nagar,3,1976.0,3.0,1.0,145.0
176,7th Phase JP Nagar,3,1600.0,2.0,2.0,110.0
177,7th Phase JP Nagar,3,1765.0,3.0,2.0,118.0
178,7th Phase JP Nagar,3,1275.0,2.0,2.0,88.0
179,7th Phase JP Nagar,3,1450.0,2.0,1.0,102.0
180,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
182,7th Phase JP Nagar,1,750.0,1.0,2.0,47.0
183,7th Phase JP Nagar,2,990.0,2.0,2.0,50.0
184,7th Phase JP Nagar,1,1000.0,1.0,1.0,60.0
186,7th Phase JP Nagar,3,1430.0,2.0,1.0,102.0
187,7th Phase JP Nagar,2,1128.0,2.0,1.0,60.0
188,7th Phase JP Nagar,2,1140.0,2.0,1.0,57.0
189,7th Phase JP Nagar,3,1420.0,3.0,2.0,90.0
190,7th Phase JP Nagar,2,1530.0,2.0,1.0,108.0
191,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005
192,8th Phase JP Nagar,1,451.0,1.0,0.0,29.9
194,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
196,8th Phase JP Nagar,3,1455.0,3.0,2.0,73.31
197,8th Phase JP Nagar,2,871.0,2.0,2.0,55.0
198,8th Phase JP Nagar,2,1098.0,2.0,1.0,43.91
199,8th Phase JP Nagar,3,1800.0,3.0,1.0,80.0
200,8th Phase JP Nagar,4,2700.0,4.0,2.0,130.0
201,8th Phase JP Nagar,2,1080.0,2.0,2.0,38.0
202,8th Phase JP Nagar,2,1059.0,2.0,2.0,34.5
203,8th Phase JP Nagar,2,1080.0,2.0,2.0,35.0
205,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
206,8th Phase JP Nagar,1,500.0,1.0,1.0,31.0
207,8th Phase JP Nagar,2,1100.0,2.0,2.0,35.0
208,8th Phase JP Nagar,4,2100.0,4.0,3.0,92.0
209,8th Phase JP Nagar,2,1035.0,2.0,1.0,39.33
210,8th Phase JP Nagar,2,909.0,2.0,1.0,40.9
211,8th Phase JP Nagar,3,1431.5,3.0,0.0,72.02
212,8th Phase JP Nagar,3,1900.0,4.0,1.0,90.0
213,8th Phase JP Nagar,1,500.0,1.0,1.0,30.0
214,8th Phase JP Nagar,2,1125.0,2.0,2.0,36.94
215,8th Phase JP Nagar,2,1100.0,2.0,3.0,35.0
216,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
218,8th Phase JP Nagar,3,1504.0,2.0,2.0,83.0
219,8th Phase JP Nagar,4,2600.0,4.0,2.0,115.0
221,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
223,8th Phase JP Nagar,2,1513.0,2.0,3.0,62.0
224,8th Phase JP Nagar,2,1298.0,2.0,1.0,59.0
225,8th Phase JP Nagar,2,1006.0,2.0,0.0,44.0
226,8th Phase JP Nagar,1,500.0,1.0,1.0,33.0
227,8th Phase JP Nagar,2,1160.0,2.0,1.0,95.0
228,8th Phase JP Nagar,2,1245.0,2.0,1.0,59.0
229,8th Phase JP Nagar,2,1510.0,2.0,3.0,80.0
230,8th Phase JP Nagar,3,3300.0,3.0,2.0,165.0
231,8th Phase JP Nagar,5,1730.0,5.0,2.0,75.0
234,8th Phase JP Nagar,2,1046.0,2.0,1.0,48.0
236,8th Phase JP Nagar,3,1408.0,3.0,2.0,80.0
238,9th Phase JP Nagar,2,1005.0,2.0,1.0,50.0
240,9th Phase JP Nagar,2,1100.0,2.0,1.0,65.0
241,9th Phase JP Nagar,2,1080.0,2.0,2.0,37.0
242,9th Phase JP Nagar,2,1035.0,2.0,1.0,45.0
243,9th Phase JP Nagar,4,5000.0,4.0,3.0,290.0
244,9th Phase JP Nagar,2,1164.0,2.0,1.0,56.0
245,9th Phase JP Nagar,2,1005.0,2.0,1.0,42.0
246,9th Phase JP Nagar,2,1127.0,2.0,1.0,50.0
247,9th Phase JP Nagar,2,1005.0,2.0,1.0,43.0
248,9th Phase JP Nagar,2,835.0,2.0,0.0,37.0
249,9th Phase JP Nagar,2,1050.0,2.0,2.0,39.0
250,9th Phase JP Nagar,2,660.0,2.0,0.0,27.0
251,9th Phase JP Nagar,1,600.0,1.0,0.0,20.0
252,9th Phase JP Nagar,2,1466.0,2.0,2.0,71.0
253,9th Phase JP Nagar,3,1890.0,2.0,2.0,93.0
254,9th Phase JP Nagar,2,1079.0,2.0,1.0,60.0
255,9th Phase JP Nagar,2,1480.0,2.0,1.0,80.0
256,9th Phase JP Nagar,2,1200.0,2.0,0.0,80.0
257,9th Phase JP Nagar,2,905.0,2.0,1.0,32.0
258,9th Phase JP Nagar,2,1073.0,2.0,1.0,52.36
259,9th Phase JP Nagar,3,1780.0,3.0,2.0,88.0
261,9th Phase JP Nagar,3,1522.0,3.0,2.0,90.0
264,9th Phase JP Nagar,2,890.0,2.0,2.0,45.0
266,9th Phase JP Nagar,4,5000.0,4.0,2.0,300.0
268,9th Phase JP Nagar,2,1050.0,2.0,2.0,35.0
269,AECS Layout,2,1100.0,2.0,3.0,45.0
270,AECS Layout,2,1028.0,2.0,1.0,42.0
271,AECS Layout,2,1199.0,2.0,2.0,65.0
272,AECS Layout,2,1080.0,2.0,2.0,55.0
273,AECS Layout,2,1123.0,2.0,2.0,64.0
274,AECS Layout,2,1308.0,2.0,1.0,60.0
275,AECS Layout,2,1005.0,2.0,1.0,55.0
277,Abbigere,2,985.0,2.0,1.0,40.39
278,Abbigere,6,2200.0,6.0,2.0,68.0
279,Abbigere,1,765.0,2.0,2.0,30.0
280,Abbigere,2,880.0,2.0,1.0,35.0
281,Abbigere,2,795.0,2.0,1.0,32.54
282,Abbigere,2,1005.0,2.0,1.0,39.59
283,Abbigere,1,734.0,1.0,0.0,19.82
285,Abbigere,2,1020.0,2.0,1.0,41.82
286,Abbigere,2,985.0,2.0,1.0,40.39
287,Abbigere,6,2500.0,6.0,0.0,81.0
288,Abbigere,2,795.0,2.0,1.0,32.54
289,Abbigere,2,1130.0,2.0,1.0,46.33
290,Abbigere,2,795.0,1.0,1.0,32.6
291,Abbigere,8,3000.0,8.0,0.0,150.0
292,Abbigere,2,985.0,2.0,1.0,38.92
293,Abbigere,2,1000.0,2.0,1.0,41.0
294,Abbigere,2,995.0,2.0,1.0,40.8
295,Abbigere,2,1020.0,2.0,1.0,40.8
296,Akshaya Nagar,2,1388.0,2.0,3.0,57.0
297,Akshaya Nagar,2,1070.0,2.0,1.0,54.0
298,Akshaya Nagar,2,1280.0,2.0,1.0,58.0
299,Akshaya Nagar,3,1662.0,3.0,3.0,85.1
300,Akshaya Nagar,3,1897.0,3.0,2.0,120.0
301,Akshaya Nagar,3,1410.0,2.0,2.0,75.0
302,Akshaya Nagar,3,1360.0,2.0,2.0,85.0
304,Akshaya Nagar,3,1410.0,2.0,2.0,80.0
305,Akshaya Nagar,3,1662.0,3.0,2.0,85.0
306,Akshaya Nagar,3,1662.0,3.0,2.0,85.5
307,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
308,Akshaya Nagar,3,1666.0,3.0,1.0,95.0
309,Akshaya Nagar,3,1575.0,3.0,1.0,90.0
310,Akshaya Nagar,3,1430.0,2.0,2.0,75.0
311,Akshaya Nagar,3,1419.0,2.0,3.0,73.0
312,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
313,Akshaya Nagar,2,1200.0,2.0,1.0,50.0
314,Akshaya Nagar,2,1092.0,2.0,1.0,60.0
315,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
317,Akshaya Nagar,3,1897.0,4.0,2.0,93.0
318,Akshaya Nagar,3,1884.0,3.0,3.0,98.0
319,Akshaya Nagar,2,1314.0,2.0,2.0,68.8
320,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
321,Akshaya Nagar,2,1265.0,2.0,3.0,67.0
322,Akshaya Nagar,2,1126.0,2.0,1.0,55.0
324,Akshaya Nagar,3,1662.0,3.0,1.0,90.0
325,Akshaya Nagar,3,1420.0,2.0,2.0,75.0
326,Akshaya Nagar,3,1412.0,2.0,3.0,88.0
327,Akshaya Nagar,3,1434.0,3.0,3.0,84.0
328,Akshaya Nagar,3,1890.0,4.0,2.0,100.0
330,Akshaya Nagar,3,1419.0,2.0,3.0,87.0
331,Akshaya Nagar,2,1300.0,2.0,1.0,54.0
332,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
333,Akshaya Nagar,2,1113.0,2.0,1.0,52.0
334,Akshaya Nagar,3,1820.0,4.0,2.0,95.0
335,Akshaya Nagar,2,1100.0,2.0,2.0,48.0
336,Akshaya Nagar,3,1896.0,3.0,2.0,102.0
337,Akshaya Nagar,2,1300.0,2.0,2.0,66.0
338,Akshaya Nagar,2,1225.0,2.0,0.0,68.0
339,Akshaya Nagar,2,1179.0,2.0,1.0,51.0
340,Akshaya Nagar,3,1421.0,2.0,2.0,73.0
341,Akshaya Nagar,3,1893.0,4.0,2.0,95.0
342,Akshaya Nagar,2,900.0,2.0,1.0,45.0
343,Ambalipura,2,1105.0,2.0,1.0,75.0
344,Ambalipura,3,1800.0,3.0,3.0,110.0
345,Ambalipura,2,1150.0,2.0,2.0,80.0
346,Ambalipura,2,1250.0,2.0,2.0,66.25
347,Ambalipura,2,1332.0,2.0,1.0,79.0
348,Ambalipura,3,1730.0,3.0,1.0,120.0
350,Ambalipura,2,1230.0,2.0,2.0,66.25
351,Ambalipura,2,1351.0,2.0,1.0,77.0
355,Ambalipura,2,1303.0,2.0,2.0,80.0
356,Ambalipura,3,1607.0,2.0,2.0,112.0
357,Ambalipura,1,770.0,1.0,2.0,43.82
358,Ambalipura,2,1700.0,2.0,2.0,76.0
359,Ambalipura,2,1060.0,2.0,1.0,58.5
360,Ambalipura,3,1650.0,3.0,3.0,100.0
361,Ambalipura,3,1607.0,2.0,2.0,112.0
362,Ambalipura,2,1198.0,2.0,2.0,80.0
363,Ambedkar Nagar,3,1935.0,4.0,2.0,130.0
364,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
365,Ambedkar Nagar,3,2225.0,4.0,2.0,169.0
366,Ambedkar Nagar,3,1862.0,3.0,2.0,120.0
367,Ambedkar Nagar,3,1850.0,4.0,3.0,139.0
368,Ambedkar Nagar,3,1936.0,4.0,2.0,126.0
369,Ambedkar Nagar,3,1862.0,3.0,2.0,119.0
370,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
371,Ambedkar Nagar,3,2150.0,4.0,2.0,125.0
372,Ambedkar Nagar,4,3530.0,4.0,2.0,290.0
373,Ambedkar Nagar,3,1856.0,3.0,1.0,120.0
374,Ambedkar Nagar,3,1852.0,3.0,2.0,130.0
375,Ambedkar Nagar,3,1850.0,4.0,2.0,120.0
376,Ambedkar Nagar,2,1367.0,2.0,2.0,86.0
377,Ambedkar Nagar,4,3565.0,4.0,3.0,255.0
378,Ambedkar Nagar,2,1409.0,2.0,2.0,95.0
379,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
380,Ambedkar Nagar,3,1921.0,4.0,3.0,129.0
381,Ambedkar Nagar,3,1920.0,4.0,2.0,121.0
382,Ambedkar Nagar,3,1935.0,4.0,2.0,125.0
383,Ambedkar Nagar,3,1852.0,4.0,2.0,122.0
384,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
385,Ambedkar Nagar,3,1852.0,3.0,2.0,125.0
386,Ambedkar Nagar,3,1850.0,4.0,2.0,121.0
387,Ambedkar Nagar,2,1425.0,2.0,1.0,94.0
388,Ambedkar Nagar,3,2395.0,4.0,2.0,150.0
389,Amruthahalli,2,900.0,2.0,1.0,40.0
390,Amruthahalli,2,1200.0,2.0,2.0,55.0
391,Amruthahalli,3,1900.0,3.0,1.0,135.0
392,Amruthahalli,2,924.0,2.0,1.0,45.0
393,Amruthahalli,2,900.0,2.0,1.0,60.0
394,Amruthahalli,2,1100.0,2.0,1.0,45.0
395,Amruthahalli,2,1200.0,2.0,1.0,55.0
399,Amruthahalli,3,1450.0,2.0,1.0,85.0
400,Amruthahalli,2,1200.0,2.0,2.0,55.0
401,Amruthahalli,2,1250.0,2.0,2.0,79.0
402,Amruthahalli,2,1190.0,2.0,2.0,50.0
403,Amruthahalli,2,1202.0,2.0,1.0,65.0
404,Amruthahalli,2,1340.0,2.0,1.0,75.0
405,Amruthahalli,3,2650.0,4.0,0.0,175.0
406,Amruthahalli,3,1450.0,2.0,1.0,90.0
407,Amruthahalli,2,1025.0,2.0,1.0,42.0
408,Amruthahalli,1,485.0,1.0,1.0,19.5
409,Anandapura,2,1167.0,2.0,1.0,43.76
410,Anandapura,2,1000.0,2.0,1.0,55.0
411,Anandapura,2,1141.0,2.0,1.0,42.79
413,Anandapura,2,1200.0,2.0,1.0,67.0
414,Anandapura,2,1200.0,2.0,1.0,58.0
415,Anandapura,2,1151.0,2.0,1.0,43.1
416,Anandapura,2,1141.0,2.0,1.0,42.75
417,Anandapura,2,900.0,2.0,0.0,48.0
418,Anandapura,4,1749.0,4.0,0.0,90.0
419,Anandapura,2,1151.0,2.0,1.0,42.9
421,Anandapura,2,1250.0,2.0,2.0,45.0
422,Anandapura,2,1151.0,2.0,1.0,43.16
423,Anandapura,2,1200.0,2.0,0.0,58.0
424,Anandapura,3,1200.0,2.0,0.0,66.0
425,Anandapura,3,1415.0,2.0,1.0,74.0
426,Anandapura,2,1200.0,2.0,1.0,50.0
427,Anandapura,2,1141.0,2.0,1.0,50.0
429,Ananth Nagar,1,500.0,1.0,1.0,14.0
430,Ananth Nagar,2,1100.0,2.0,2.0,31.5
431,Ananth Nagar,2,982.0,2.0,2.0,24.55
432,Ananth Nagar,1,500.0,2.0,2.0,14.0
433,Ananth Nagar,2,900.0,2.0,2.0,22.5
434,Ananth Nagar,2,908.0,2.0,1.0,26.0
435,Ananth Nagar,2,870.0,2.0,2.0,36.0
436,Ananth Nagar,2,937.0,2.0,1.0,35.0
437,Ananth Nagar,2,960.0,2.0,3.0,37.0
438,Ananth Nagar,1,500.0,1.0,1.0,14.0
439,Ananth Nagar,2,1000.0,2.0,1.0,29.7
440,Ananth Nagar,2,850.0,2.0,1.0,25.99
441,Ananth Nagar,2,902.0,2.0,1.0,25.26
442,Ananth Nagar,3,1470.0,3.0,2.0,54.0
443,Ananth Nagar,2,810.0,2.0,1.0,25.5
444,Ananth Nagar,2,890.0,2.0,1.0,27.0
445,Ananth Nagar,2,1200.0,2.0,1.0,36.0
447,Ananth Nagar,3,1319.0,3.0,1.0,42.0
448,Ananth Nagar,2,1000.0,2.0,3.0,25.0
449,Ananth Nagar,2,902.0,2.0,2.0,25.0
450,Ananth Nagar,2,930.0,2.0,1.0,25.99
451,Ananth Nagar,2,1074.0,2.0,2.0,26.85
452,Ananth Nagar,1,500.0,1.0,1.0,14.0
453,Ananth Nagar,2,1010.0,2.0,2.0,38.0
454,Ananth Nagar,2,992.0,2.0,2.0,24.8
455,Anekal,2,1200.0,1.0,1.0,36.0
456,Anekal,2,656.0,2.0,1.0,22.0
457,Anekal,2,620.0,2.0,1.0,22.0
458,Anekal,1,600.0,1.0,1.0,16.5
459,Anekal,2,925.0,2.0,1.0,40.0
460,Anekal,1,530.0,1.0,1.0,18.0
461,Anekal,3,1800.0,3.0,2.0,68.0
462,Anekal,2,1200.0,1.0,1.0,36.0
463,Anekal,2,1035.0,2.0,2.0,38.3
464,Anekal,2,888.0,2.0,1.0,34.0
465,Anekal,2,1200.0,2.0,1.0,36.1
466,Anekal,2,700.0,1.0,0.0,19.4
467,Anekal,2,1200.0,1.0,1.0,36.0
468,Anekal,4,1200.0,2.0,1.0,36.0
469,Anekal,2,766.0,2.0,2.0,28.0
470,Anekal,2,620.0,1.0,1.0,23.5
471,Anekal,3,1150.0,3.0,2.0,45.0
472,Anekal,2,1200.0,1.0,1.0,36.0
473,Anekal,2,1200.0,1.0,1.0,36.0
474,Anekal,1,400.0,1.0,1.0,11.5
475,Anekal,1,456.0,1.0,1.0,15.0
476,Anekal,2,1200.0,1.0,1.0,36.0
477,Anekal,2,1200.0,1.0,1.0,36.0
478,Anekal,3,2400.0,4.0,0.0,95.0
479,Anekal,2,1200.0,2.0,1.0,36.1
480,Anekal,2,1200.0,2.0,1.0,36.1
481,Anekal,2,680.0,1.0,1.0,21.0
482,Anekal,1,420.0,1.0,1.0,12.5
483,Anekal,2,625.0,1.0,1.0,25.0
484,Anjanapura,4,1850.0,4.0,2.0,86.0
485,Anjanapura,2,1070.0,2.0,2.0,39.0
486,Anjanapura,3,1500.0,3.0,1.0,121.0
487,Anjanapura,2,1070.0,2.0,2.0,37.0
488,Anjanapura,2,950.0,2.0,1.0,40.0
489,Anjanapura,3,1280.0,2.0,2.0,45.0
490,Anjanapura,2,710.0,2.0,0.0,25.0
492,Anjanapura,2,950.0,2.0,0.0,32.0
493,Anjanapura,4,1800.0,4.0,2.0,55.0
494,Anjanapura,3,1843.0,3.0,1.0,87.54
495,Anjanapura,2,1076.0,2.0,1.0,30.13
496,Anjanapura,2,950.0,2.0,0.0,30.0
497,Ardendale,2,1100.0,2.0,1.0,43.25
498,Ardendale,3,1750.0,3.0,2.0,100.0
499,Ardendale,4,3198.0,4.0,3.0,200.0
500,Ardendale,4,2422.0,4.0,2.0,160.0
501,Ardendale,3,1750.0,3.0,3.0,100.0
502,Ardendale,4,3200.0,4.0,1.0,205.0
503,Ardendale,3,1728.0,3.0,2.0,95.0
504,Ardendale,2,1100.0,2.0,1.0,48.0
505,Ardendale,4,2062.0,3.0,1.0,140.0
506,Ardendale,4,2062.0,3.0,1.0,150.0
508,Ardendale,2,1224.0,2.0,2.0,70.0
509,Ardendale,3,1650.0,3.0,3.0,82.0
510,Ardendale,4,2062.0,3.0,3.0,140.0
